director_name,actor_1_name,N/A,movie_title
James Cameron,CCH Pounder,2009,Avatar 
Gore Verbinski,Johnny Depp,2007,Pirates of the Caribbean: At World's End 
Sam Mendes,Christoph Waltz,2015,Spectre 
Christopher Nolan,Tom Hardy,2012,The Dark Knight Rises 
Doug Walker,Doug Walker,N/A,Star Wars: Episode VII - The Force Awakens             
Andrew Stanton,Daryl Sabara,2012,John Carter 
Sam Raimi,J.K. Simmons,2007,Spider-Man 3 
Nathan Greno,Brad Garrett,2010,Tangled 
Joss Whedon,Chris Hemsworth,2015,Avengers: Age of Ultron 
David Yates,Alan Rickman,2009,Harry Potter and the Half-Blood Prince 
Zack Snyder,Henry Cavill,2016,Batman v Superman: Dawn of Justice 
Bryan Singer,Kevin Spacey,2006,Superman Returns 
Marc Forster,Giancarlo Giannini,2008,Quantum of Solace 
Gore Verbinski,Johnny Depp,2006,Pirates of the Caribbean: Dead Man's Chest 
Gore Verbinski,Johnny Depp,2013,The Lone Ranger 
Zack Snyder,Henry Cavill,2013,Man of Steel 
Andrew Adamson,Peter Dinklage,2008,The Chronicles of Narnia: Prince Caspian 
Joss Whedon,Chris Hemsworth,2012,The Avengers 
Rob Marshall,Johnny Depp,2011,Pirates of the Caribbean: On Stranger Tides 
Barry Sonnenfeld,Will Smith,2012,Men in Black 3 
Peter Jackson,Aidan Turner,2014,The Hobbit: The Battle of the Five Armies 
Marc Webb,Emma Stone,2012,The Amazing Spider-Man 
Ridley Scott,Mark Addy,2010,Robin Hood 
Peter Jackson,Aidan Turner,2013,The Hobbit: The Desolation of Smaug 
Chris Weitz,Christopher Lee,2007,The Golden Compass 
Peter Jackson,Naomi Watts,2005,King Kong 
James Cameron,Leonardo DiCaprio,1997,Titanic 
Anthony Russo,Robert Downey Jr.,2016,Captain America: Civil War 
Peter Berg,Liam Neeson,2012,Battleship 
Colin Trevorrow,Bryce Dallas Howard,2015,Jurassic World 
Sam Mendes,Albert Finney,2012,Skyfall 
Sam Raimi,J.K. Simmons,2004,Spider-Man 2 
Shane Black,Robert Downey Jr.,2013,Iron Man 3 
Tim Burton,Johnny Depp,2010,Alice in Wonderland 
Brett Ratner,Hugh Jackman,2006,X-Men: The Last Stand 
Dan Scanlon,Steve Buscemi,2013,Monsters University 
Michael Bay,Glenn Morshower,2009,Transformers: Revenge of the Fallen 
Michael Bay,Bingbing Li,2014,Transformers: Age of Extinction 
Sam Raimi,Tim Holmes,2013,Oz the Great and Powerful 
Marc Webb,Emma Stone,2014,The Amazing Spider-Man 2 
Joseph Kosinski,Jeff Bridges,2010,TRON: Legacy 
John Lasseter,Joe Mantegna,2011,Cars 2 
Martin Campbell,Ryan Reynolds,2011,Green Lantern 
Lee Unkrich,Tom Hanks,2010,Toy Story 3 
McG,Christian Bale,2009,Terminator Salvation 
James Wan,Jason Statham,2015,Furious 7 
Marc Forster,Peter Capaldi,2013,World War Z 
